Parent Path,File Name,Exists in Webb UI,MUI 5,Total Components,Includes Style Guide,Additional Details
ui/src/app/components/subscriber/quartile-dashboard-card.jsx,quartile-dashboard-card.jsx,"Typography
CardActions
ChevronRight",,3,True,
ui/src/app/components/subscriber/cidr-range-table.jsx,cidr-range-table.jsx,"DeleteIcon
IconButton",,2,True,
ui/src/app/components/subscriber/bin-configuration-modal.jsx,bin-configuration-modal.jsx,"MUIDialogActions
MUISlider
DialogContent
Alert
Dialog
Typography","withStyles
Grid",8,True,
ui/src/app/components/cube-visualizations/cube-donut.jsx,cube-donut.jsx,"deepPurple
red
blue
teal
pink",,5,True,"

 Webb UI Related Notes:
 deepPurple
 blue
 teal
 red
 pink"
ui/src/app/components/cube-visualizations/cube-percentage-table.tsx,cube-percentage-table.tsx,Typography,,1,True,"

 Webb UI Related Notes:
 Typography"
ui/src/app/components/cube-visualizations/cube-table/cube-table-head.jsx,cube-table-head.jsx,"TableCell
TableSortLabel
TableHead
TableRow",,4,True,"

 Webb UI Related Notes:
 
 
 
 "
ui/src/app/components/cube-visualizations/cube-table/cube-grouped-table-head.jsx,cube-grouped-table-head.jsx,"TableCell
TableSortLabel
TableHead
TableRow",,4,True,"

 Webb UI Related Notes:
 
 
 
 "
ui/src/app/components/cube-visualizations/cube-table/cube-table.jsx,cube-table.jsx,"TableCell
Table
TableRow
TableBody",grey,5,True,"

 Webb UI Related Notes:
 Grey
 
 
 "
ui/src/app/components/interfaces/table-display/more-actions/show-hide-columns.tsx,show-hide-columns.tsx,MenuList,"MenuItem
ListItemText
withStyles",4,True,
ui/src/app/components/interfaces/table-display/filter-controls/gbps-filter.tsx,gbps-filter.tsx,InputAdornment,,1,False,
ui/src/app/components/interfaces/table-display/filter-controls/filter-button-control.tsx,filter-button-control.tsx,Box,,1,True,
ui/src/app/components/interfaces/table-display/filter-controls/interfaces-filter.tsx,interfaces-filter.tsx,Box,,1,True,
ui/src/app/components/match-config/match-form-dialog.jsx,match-form-dialog.jsx,"DialogContent
Dialog
DialogActions",,3,True,
ui/src/app/components/match-config/match-action-icons.jsx,match-action-icons.jsx,"DialogActions
DialogContent
DeleteIcon
Dialog
EditIcon
Typography",,6,True,
ui/src/app/components/connectors/router/geoip/geoip-form.jsx,geoip-form.jsx,FormLabel,FormControl,2,True,"

 Webb UI Related Notes:
 FormControl
 FormLabel"
ui/src/app/components/connectors/router/expandable-forms/form-title.jsx,form-title.jsx,"ErrorOutlineIcon
Typography",,2,True,"

 Webb UI Related Notes:
 Typography
 ErrorOutlineIcon"
ui/src/app/components/connectors/router/expandable-forms/ip-same-as-loopback.jsx,ip-same-as-loopback.jsx,"FormControlLabel
Radio
Checkbox",RadioGroup,4,True,"

 Webb UI Related Notes:
 Checkbox
 FormControlLabel
 RadioGroup
 Radio"
ui/src/app/components/connectors/router/expandable-forms/expandable-form-section.jsx,expandable-form-section.jsx,ExpandMoreIcon,"AccordionSummary
AccordionDetails
Accordion",4,False,"

 Webb UI Related Notes:
 ExpandMoreIcon
 
 "
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-session-status.jsx,bgp-session-status.jsx,"green
red
CheckCircleIcon
Cancel",grey,5,True,"

 Webb UI Related Notes:
 Grey
 Red
 Green
 CancelIcon
 CheckCircleIcon"
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-direct-peer-form.jsx,bgp-direct-peer-form.jsx,"FormGroup
Radio
TextField
FormLabel
Checkbox
FormControlLabel","RadioGroup
FormControl",8,True,"

 Webb UI Related Notes:
 TextField
 Checkbox
 FormControlLabel
 FormControl
 FormLabel
 RadioGroup
 FormGroup
 Radio"
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-inherit-form.jsx,bgp-inherit-form.jsx,FormLabel,,1,True,"

 Webb UI Related Notes:
 FormLabel"
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-form.jsx,bgp-form.jsx,Typography,,1,True,"

 Webb UI Related Notes:
 Typography"
ui/src/app/components/connectors/router/expandable-forms/network-firewall/network-firewall-form.jsx,network-firewall-form.jsx,TextField,,1,True,"

 Webb UI Related Notes:
 TextField"
ui/src/app/components/connectors/router/expandable-forms/flow/flow-form.jsx,flow-form.jsx,"Radio
FormLabel
Typography
FormControlLabel","RadioGroup
FormControl",6,True,"

 Webb UI Related Notes:
 Typography
 FormControl
 FormLabel
 FormControlLabel
 RadioGroup
 Radio"
ui/src/app/components/connectors/router/expandable-forms/spm/spm-form.tsx,spm-form.tsx,"TextField
Box
FormLabel
Typography
InputAdornment","MenuItem
withStyles
FormControl",8,True,"WithStyles :question_mark:







 Webb UI Related Notes:
 Box
 Typography
 TextField
 FormControl
 FormLabel
 MenuItem
 InputAdornment"
ui/src/app/components/connectors/router/expandable-forms/snmp/snmp-form.jsx,snmp-form.jsx,"FormGroup
Radio
TextField
FormLabel
Typography
FormControlLabel","MenuItem
RadioGroup
FormControl",9,True,"

 Webb UI Related Notes:
 Typography
 TextField
 FormControl
 FormControlLabel
 FormLabel
 FormGroup
 RadioGroup
 Radio
 MenuItem"
ui/src/app/components/connectors/router/sidebar/shared.mjs,shared.mjs,,FormControl,1,True,"

 Webb UI Related Notes:
 FormControl"
ui/src/app/components/connectors/router/sidebar/description.jsx,description.jsx,TextField,,1,False,"

 Webb UI Related Notes:
 TextField"
ui/src/app/components/connectors/router/sidebar/router-capabilities/router-capabilities.tsx,router-capabilities.tsx,"FormLabel
FormGroup",FormControl,3,False,"

 Webb UI Related Notes:
 FormLabel
 FormControl
 FormGroup"
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-spm.tsx,checkbox-has-spm.tsx,"FormControlLabel
Checkbox",,2,False,"

 Webb UI Related Notes:
 Checkbox
 FormControlLabel"
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-network-firewall.tsx,checkbox-has-network-firewall.tsx,"FormControlLabel
Checkbox",,2,False,"

 Webb UI Related Notes:
 Checkbox
 FormControlLabel"
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-bgp.tsx,checkbox-has-bgp.tsx,"FormControlLabel
Radio
Checkbox",RadioGroup,4,False,"

 Webb UI Related Notes:
 Checkbox
 FormControlLabel
 RadioGroup
 Radio"
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-snmp.tsx,checkbox-has-snmp.tsx,"FormControlLabel
Checkbox",,2,False,"

 Webb UI Related Notes:
 Checkbox
 FormControlLabel"
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-flow.tsx,checkbox-has-flow.tsx,"FormControlLabel
Checkbox",,2,False,"

 Webb UI Related Notes:
 Checkbox
 FormControlLabel"
ui/src/app/components/network-firewall/firewall-sets/list-view-card.jsx,list-view-card.jsx,"ExpandMoreIcon
DnsIcon
IconButton
DeleteIcon
EditIcon
ExpandLessIcon",grey,7,True,
ui/src/app/components/network-firewall/firewall-sets/empty-state.jsx,empty-state.jsx,Typography,grey,2,True,
ui/src/app/components/network-firewall/firewall-sets/save-dialog.jsx,save-dialog.jsx,"DialogContent
Paper
MUIDialog
DialogActions",,4,True,
ui/src/app/components/network-firewall/firewall-sets/view/save-popper.jsx,save-popper.jsx,"ClickAwayListener
DialogActions
DialogContent
DialogTitle
Popper
Paper
Typography",,7,True,
ui/src/app/components/network-firewall/firewall-sets/view/page-header.jsx,page-header.jsx,"Box
Typography
EditIcon",,3,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared.jsx,shared.jsx,"Box
Typography",grey,3,True,
ui/src/app/components/network-firewall/firewall-sets/view/router-config-modal.tsx,router-config-modal.tsx,"Box
Typography
Drawer",,3,True,
ui/src/app/components/network-firewall/firewall-sets/view/firewall-set-view.jsx,firewall-set-view.jsx,Typography,,1,False,
ui/src/app/components/network-firewall/firewall-sets/view/juniper-netconf/juniper-detail.jsx,juniper-detail.jsx,"Box
DeleteIcon
EditIcon",,3,True,
ui/src/app/components/network-firewall/firewall-sets/view/juniper-netconf/juniper-devices.jsx,juniper-devices.jsx,Box,,1,True,
ui/src/app/components/network-firewall/firewall-sets/view/nokia-netconf/nokia-detail.jsx,nokia-detail.jsx,"Box
DeleteIcon
EditIcon",,3,True,
ui/src/app/components/network-firewall/firewall-sets/view/nokia-netconf/nokia-devices.jsx,nokia-devices.jsx,Box,,1,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared/feature-tag.jsx,feature-tag.jsx,"green
orange
red
purple
blue",,5,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared/fp3-switch.tsx,fp3-switch.tsx,"Box
Switch",,2,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared/router-modal.jsx,router-modal.jsx,"Box
DialogActions
DialogContent
Dialog",Slide,5,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared/router-parent-form.jsx,router-parent-form.jsx,,Grid,1,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared/feature-switch.jsx,feature-switch.jsx,Switch,,1,False,
ui/src/app/components/network-firewall/firewall-sets/view/shared/router-feature-form.jsx,router-feature-form.jsx,SwapVertIcon,,1,True,
ui/src/app/components/network-firewall/firewall-sets/view/shared/router-empty-state.jsx,router-empty-state.jsx,"AddIcon
Typography",,2,True,
ui/src/app/components/network-firewall/firewall-sets/view/flowspec/flowspec-detail.jsx,flowspec-detail.jsx,"Box
EditIcon",,2,True,
ui/src/app/components/network-firewall/firewall-sets/view/flowspec/flowspec-devices.jsx,flowspec-devices.jsx,Box,,1,True,
ui/src/app/components/network-firewall/firewall-sets/view/flowspec/flowspec-feature-set-form.jsx,flowspec-feature-set-form.jsx,"AddIcon
FormControlLabel
Box
Checkbox",,4,True,
ui/src/app/components/network-firewall/firewall-sets/view/flowspec/flowspec-router-modal.jsx,flowspec-router-modal.jsx,Typography,,1,False,
ui/src/app/components/network-firewall/firewall-sets/list-view/add-firewall-action.jsx,add-firewall-action.jsx,Add,,1,True,
ui/src/app/components/network-firewall/incident-details/incident-enabled-network-filters-table.jsx,incident-enabled-network-filters-table.jsx,"TableCell
Table
TableHead
TableRow
TableBody",,5,True,
ui/src/app/components/empty-states/empty-state-basic-with-background.tsx,empty-state-basic-with-background.tsx,,grey,1,False,
ui/src/app/components/reports/report-utils.jsx,report-utils.jsx,"green
yellow
red",,3,False,
ui/src/app/components/reports/display-title.jsx,display-title.jsx,"Box
Typography",,2,True,
ui/src/app/components/reports/cdn-optimization-summary/cdn-optimization-total-gauges.jsx,cdn-optimization-total-gauges.jsx,,Grid,1,True,
ui/src/app/components/reports/cdn-optimization-summary/cdn-optimization-toggle-gauges.jsx,cdn-optimization-toggle-gauges.jsx,,"ToggleButtonGroup
Grid
ToggleButton
grey",4,True,
ui/src/app/components/reports/cdn-optimization-summary/cdn-optimization-summary-page.jsx,cdn-optimization-summary-page.jsx,,Grid,1,True,
